id,name,crs_code,tiploc_code
364,Carpenders Park,CPK,CRPNDPK
365,West Ruislip,WRU,WRUISLP
366,Greenhithe,GNH,GNHT
367,Shoreham,SEH,SHRMKT
368,Chafford Hundred,CFH,CHADHDD
369,Walton On Thames,WAL,WONT
370,Ockendon,OCK,OCKENDN
371,West Drayton,WDT,WDRYTON
372,Bushey,BSH,BUSHEY
373,Radlett,RDT,RADLETT
374,Shepperton,SHP,SHEPRTN
375,Ashford (Surrey),AFS,ASFDMSX
376,Leatherhead,LHD,LETHRHD
377,Watford High Street,WFH,WATFDHS
378,Otford,OTF,OTFORD
379,Swanscombe,SWM,SWNSCMB
380,Heathrow Airport   Terminal 5,HWV,HTRWTM5
381,Dunton Green,DNG,DTNG
382,Cobham & Stoke D'abernon,CSD,CBHMSDA
383,Grays,GRY,GRAYS
384,Watford Junction,WFJ,WATFDJ
385,Ebbsfleet International,EBD,EBSFLTI
386,Longfield,LGF,LGFD
387,Northfleet,NFL,NRTHFLT
388,Iver,IVR,IVER
389,Weybridge,WYB,WEYBDGE
390,Watford North,WFN,WATFDN
391,Staines,SNS,STAINES
392,Bat And Ball,BBL,BATABAL
393,Garston (Hertfordshire),GSN,GRSTH
394,Denham,DNM,DENHAM
395,Brentwood,BRE,BRTWOOD
396,Bookham,BKA,BOOKHAM
397,Addlestone,ASN,ADLESTN
398,Chertsey,CHY,CHTSEY
399,Byfleet & New Haw,BFN,BYFLANH
400,Rickmansworth,RIC,RCKMNSW
401,Kemsing,KMS,KEMSING
402,Effingham Junction,EFF,EFNGHMJ
403,Shenfield,SNF,SHENFLD
404,West Byfleet,WBY,WBYFLET
405,Borough Green & Wrotham,BRG,BORWGAW
